Name,ID,L,a,b,LRV,R,G,B
Sturgis Gray,Historic,35.7218,0.177099,4.36429,0.0886435,0.339425,0.32841,0.302117
Nankeen,Historic,66.9364,6.62162,18.6373,0.365478,0.721137,0.620093,0.508345
Winter Meadow,Historic,64.5437,5.63082,12.6938,0.33475,0.679012,0.59852,0.525975
Coastal Sand,Historic,71.4879,8.36113,23.4188,0.429012,0.789523,0.662765,0.520409
Britches,Historic,60.6402,2.81875,17.7741,0.2884,0.627816,0.564411,0.450795
Toffee,Historic,57.6847,9.42194,26.1528,0.256306,0.649297,0.517509,0.364868
Ginger Root,Historic,57.5108,8.24393,25.4152,0.254495,0.639432,0.518767,0.368075
Maple,Historic,62.6858,13.3401,21.8118,0.312116,0.721752,0.558705,0.445168
Bean Pot,Historic,48.1074,10.4643,20.053,0.168791,0.546715,0.420779,0.316719
Palomino,Historic,52.5231,8.41359,17.317,0.206128,0.577135,0.469485,0.376399
Portobello,Historic,47.6076,4.05787,11.4025,0.164874,0.491295,0.43223,0.368315
Tankard Gray,Historic,49.2082,1.83797,10.3829,0.177637,0.491643,0.453003,0.389921
Hitching Post,Historic,48.6306,5.84785,12.8213,0.172958,0.514894,0.437902,0.368977
Cummings Oak,Historic,39.2546,3.48981,14.7263,0.108076,0.409982,0.353116,0.268981
Brownstone,Historic,39.4344,13.6263,17.8018,0.109135,0.472251,0.330221,0.253134
Otis Madiera,Historic,30.3285,17.0256,10.3689,0.0637046,0.390181,0.238469,0.220159
Liberty,Historic,43.9258,17.3534,13.3366,0.13787,0.533737,0.363257,0.323952
Burnt Umber,Historic,41.8996,13.3549,13.5203,0.124352,0.491009,0.354653,0.303124
Hickory Nut,Historic,43.0426,7.53512,15.5248,0.131863,0.472227,0.37966,0.299238
Tyson Taupe,Historic,43.5154,4.79561,9.1165,0.135056,0.451309,0.391322,0.344855
Wooden Nutmeg,Historic,41.2912,8.66678,10.478,0.120473,0.454263,0.360956,0.316115
Bargeboard Brown,Historic,37.1741,8.26806,8.37476,0.096322,0.408263,0.323582,0.291647
Rawhide,Historic,36.5886,4.60392,6.95395,0.0931752,0.379155,0.326698,0.294558
Chocolate,Historic,28.3722,5.34681,5.37442,0.0559704,0.303557,0.250591,0.230906
Quincy Granite,Historic,73.6818,-0.779344,2.99269,0.462103,0.711352,0.711135,0.688217
Vinal Haven,Historic,72.1826,-2.95587,1.35912,0.439314,0.675062,0.700421,0.683657
Monument Gray,Historic,53.0167,-3.26254,2.80427,0.210615,0.479757,0.502842,0.476894
Fieldstone,Historic,52.8352,-0.28085,3.84779,0.208957,0.501176,0.494487,0.468579
Gropius Gray,Historic,41.2333,-0.086789,2.78352,0.120108,0.386683,0.381024,0.363393
Polished Pewter,Historic,43.5205,-1.82286,-1.14539,0.135091,0.387972,0.407123,0.410294
Vermont Slate,Historic,34.6563,-3.36375,-5.63158,0.0832772,0.282488,0.327001,0.354078
